Id,Predict
0,92
1,17 61
2,31
3,23
4,-1
5,-1
6,37
7,13
8,-1
9,-1
10,-1
11,36 42
12,-1
13,-1
14,94
15,82
16,84
17,-1
18,37
19,-1
20,83
21,-1
22,-1
23,35
24,50
25,-1
26,35
27,3
28,-1
29,82
30,6 83
31,3 89
32,52 65
33,84
34,69
35,-1
36,-1
37,6 83
38,-1
39,85
40,-1
41,71
42,20
43,-1
44,-1
45,54
46,26 81
47,10 92
48,6 73
49,-1
50,42
51,-1
52,-1
53,6 71
54,78
55,-1
56,6 83
57,51
58,-1
59,29
60,43
61,49
62,66
63,-1
64,-1
65,-1
66,10
67,82
68,-1
69,59
70,-1
71,85 96
72,-1
73,6 83
74,-1
75,80
76,6 83
77,68
78,6 83
79,44
80,-1
81,20
82,10
83,-1
84,37 41
85,60
86,-1
87,6 83
88,-1
89,52 65
90,37
91,60 73
92,75 87
93,-1
94,6 71
95,-1
96,67
97,71
98,-1
99,92
100,-1
101,-1
102,6 71
103,77
104,65
105,75
106,-1
107,-1
108,38
109,-1
110,6
111,6 83
112,-1
113,-1
114,27
115,25
116,-1
117,34 100
118,-1
119,93
120,-1
121,46 68
122,-1
123,26
124,24
125,-1
126,3
127,85 96
128,77
129,5
130,89
131,-1
132,30
133,-1
134,92
135,65
136,-1
137,60
138,28 82
139,22
140,6 83
141,6 83
142,-1
143,-1
144,-1
145,6 83
146,-1
147,6 83
148,-1
149,6 83
150,8
151,97
152,-1
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,30
160,-1
161,45
162,3
163,78
164,-1
165,32
166,-1
167,37
168,6 83
169,19
170,-1
171,54
172,-1
173,67
174,60
175,-1
176,-1
177,46
178,3 22
179,-1
180,63
181,62
182,-1
183,79
184,6 83
185,-1
186,-1
187,6 83
188,84
189,29
190,79
191,54
192,-1
193,-1
194,60
195,58
196,12 48
197,-1
198,86
199,32
200,93
201,-1
202,-1
203,19
204,57 68 98
205,53
206,26
207,77
208,34
209,-1
210,82
211,-1
212,23
213,37 41
214,-1
215,6 83
216,-1
217,-1
218,20
219,38
220,6 83
221,58
222,-1
223,-1
224,53
225,31
226,-1
227,-1
228,20 43
229,-1
230,8 92
231,-1
232,6 71
233,68
234,39
235,6 83
236,49
237,-1
238,6 83
239,92
240,62
241,6 83
242,50
243,-1
244,26 81
245,74
246,6 83
247,54
248,54
249,6 83
250,-1
251,33
252,46
253,49
254,25
255,54
256,47 96
257,-1
258,-1
259,6 83
260,10 80 92
261,-1
262,-1
263,10
264,36 42
265,57 68 98
