Id,Predict
0,-1
1,-1
2,31
3,23
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,8 74
12,-1
13,74
14,28
15,-1
16,84
17,-1
18,74
19,-1
20,83 97
21,-1
22,74
23,-1
24,6 71
25,49
26,-1
27,91
28,-1
29,-1
30,10 80
31,-1
32,52 65
33,8 74
34,-1
35,10 80
36,-1
37,-1
38,32
39,37
40,-1
41,-1
42,-1
43,-1
44,-1
45,54
46,35
47,8 74
48,4
49,-1
50,42
51,38
52,-1
53,-1
54,10 80
55,74
56,74
57,-1
58,74
59,10 80
60,43
61,74
62,97
63,-1
64,-1
65,-1
66,10
67,74
68,42
69,59
70,-1
71,85
72,-1
73,37
74,37
75,80
76,-1
77,-1
78,37
79,47
80,-1
81,-1
82,10
83,-1
84,-1
85,74
86,-1
87,74
88,-1
89,74
90,-1
91,75
92,-1
93,-1
94,6 71
95,-1
96,67 70
97,73
98,-1
99,-1
100,87
101,-1
102,6 71
103,-1
104,-1
105,75
106,-1
107,-1
108,38
109,35
110,10 80
111,37
112,-1
113,10 80
114,10 80
115,-1
116,-1
117,8 74
118,-1
119,10 80
120,74
121,26
122,74
123,39
124,-1
125,-1
126,-1
127,-1
128,58
129,-1
130,-1
131,-1
132,-1
133,46
134,-1
135,-1
136,-1
137,8 74
138,25
139,-1
140,10 80
141,8 74
142,89
143,-1
144,38
145,10 80
146,6 71
147,37
148,-1
149,69
150,-1
151,8 74
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,58
159,-1
160,39
161,-1
162,-1
163,-1
164,-1
165,-1
166,-1
167,37
168,-1
169,36 60
170,-1
171,74
172,92
173,67
174,8 74
175,-1
176,-1
177,46
178,74
179,-1
180,74
181,-1
182,-1
183,8 74
184,8 74
185,-1
186,37
187,10 80
188,84
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,-1
196,12
197,28
198,74 86
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,94
208,-1
209,-1
210,82
211,10 80
212,8 74
213,-1
214,-1
215,8 74
216,-1
217,-1
218,-1
219,4
220,-1
221,-1
222,94
223,87
224,-1
225,92
226,74
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,8 74
234,-1
235,10 80
236,-1
237,-1
238,74
239,92
240,84
241,-1
242,-1
243,-1
244,26 81
245,-1
246,58
247,10 80
248,-1
249,69
250,4
251,8 74
252,-1
253,8 74
254,-1
255,-1
256,8 74
257,19
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,74
267,17
268,-1
269,74
270,98
271,8 74
272,83 97
273,4
274,-1
275,8 74
276,-1
277,25
278,-1
279,-1
280,-1
281,87
282,74
283,37
284,8 74
285,59
286,-1
287,-1
288,-1
289,-1
290,27 45
291,-1
292,5
293,-1
294,98
295,20
296,74
297,35
298,28
299,11
300,-1
301,6 71
302,-1
303,85
304,97
305,74
306,35
307,-1
308,-1
309,74
310,-1
311,-1
312,10 80
313,-1
314,-1
315,10 80
316,-1
317,74
318,-1
319,-1
320,-1
321,74
322,-1
323,-1
324,-1
325,92
326,16 21
327,-1
328,8 74
329,-1
330,-1
331,-1
332,-1
333,10 80
334,35
335,57 68 98
336,-1
337,37
338,12
339,-1
340,-1
341,-1
342,65
343,-1
344,37 41
345,10 80
346,-1
347,-1
348,20 83
349,12 77
350,18
351,-1
352,-1
353,51
354,20
355,-1
356,8 74
357,23
358,-1
359,-1
360,10 80
361,-1
362,-1
363,-1
364,13 95
365,-1
366,-1
367,-1
368,74
369,36
370,74
371,-1
372,-1
373,-1
374,23
375,-1
376,25 71
377,10 80
378,74
379,-1
380,-1
381,-1
382,-1
383,50
384,8 74
385,25
386,10 80
387,62
388,8 74
389,74
390,-1
391,37 41
392,58
393,-1
394,64
395,24
396,10 80
397,65
398,-1
399,54
400,-1
401,-1
402,-1
403,74
404,74
405,20
406,-1
407,-1
408,8 74
409,8 74
410,21
411,58
412,74
413,74
414,36
415,8 74
416,37 41
417,-1
418,-1
419,26
420,-1
421,67
422,56
423,8 74
424,-1
425,8 74
426,-1
427,-1
428,-1
429,98
430,-1
431,35
432,6 71
433,-1
434,-1
435,-1
436,-1
437,-1
438,8 74
439,10 80
440,-1
441,11
442,35
443,-1
444,62
445,8
446,65
447,8 74
448,-1
449,10 80
450,63
451,-1
452,-1
453,-1
454,-1
455,6 71
456,5
457,-1
458,-1
459,74
460,37
461,-1
462,-1
463,56
464,-1
465,78
466,-1
467,-1
468,-1
469,43
470,46
471,74
472,8 74
473,92
474,-1
475,-1
476,-1
477,-1
478,20
479,74
480,-1
481,74
482,-1
483,-1
484,-1
485,37
486,-1
487,8 74
488,46
489,10 80
490,-1
491,-1
492,-1
493,15 28
494,-1
495,-1
496,74
497,-1
498,8 74
499,74
500,2
501,-1
502,-1
503,38
504,-1
505,-1
506,-1
507,-1
508,-1
509,-1
510,-1
511,-1
512,-1
513,10 80
514,6 71
515,75
516,-1
517,-1
518,-1
519,-1
520,-1
521,-1
522,37
523,-1
524,86
525,74
526,-1
527,-1
528,-1
529,-1
530,27 45
531,6 71
532,26 81
533,8 74
534,83
535,-1
536,-1
537,-1
538,-1
539,8 74
540,-1
541,-1
542,-1
543,20
544,-1
545,-1
546,-1
547,-1
548,-1
549,10 80
550,74
551,10 80
552,69
553,-1
554,-1
555,69
556,-1
557,-1
558,-1
559,37
560,-1
561,6 71
562,-1
563,4
564,-1
565,-1
566,-1
567,28
568,6 71
569,10 80
570,-1
571,-1
572,-1
573,-1
574,-1
575,74
576,-1
577,53
578,87
579,-1
580,-1
581,-1
582,74
583,-1
584,6 71
585,78
586,-1
587,82
588,-1
589,74
590,10
591,8 74
592,-1
593,74
594,38
595,8 74
596,8 74
597,3
598,-1
599,10 80
600,-1
601,-1
602,74
603,37
604,-1
605,10 80
606,10
607,-1
608,6 71
609,10 80
610,8 74
611,8 74
612,10 80
613,74
614,74
615,8 74
616,6 71
617,-1
618,-1
619,74
620,25 71
621,42
622,8 74
623,-1
624,-1
625,58
626,-1
627,-1
628,-1
629,8 74
630,92
631,10 80
632,37
633,8 74
634,-1
635,10 80
636,34 100
637,-1
638,36 60
639,-1
640,-1
641,8 74
642,-1
643,74
644,87
645,-1
646,-1
647,10 80
648,74
649,74
650,80
651,6 71
652,64
653,-1
654,-1
655,-1
656,-1
657,74
658,6 71
659,1
660,-1
661,14
662,-1
663,74
664,39
665,74
666,-1
