Id,Predict
0,92
1,-1
2,31
3,23
4,-1
5,-1
6,37
7,13
8,-1
9,-1
10,-1
11,36 42
12,-1
13,-1
14,12 77
15,82
16,84
17,-1
18,37
19,-1
20,83
21,-1
22,-1
23,-1
24,6 71
25,-1
26,35
27,3
28,-1
29,-1
30,12 32
31,3 89
32,52 65
33,84
34,69
35,-1
36,-1
37,12 32
38,-1
39,85
40,-1
41,-1
42,20
43,-1
44,-1
45,54
46,26 81
47,10 92
48,6 73
49,-1
50,42
51,-1
52,-1
53,-1
54,78
55,-1
56,37 77
57,-1
58,-1
59,29
60,43
61,49
62,66
63,-1
64,-1
65,-1
66,10
67,82
68,-1
69,59
70,-1
71,85 96
72,-1
73,6 71
74,-1
75,80
76,1
77,-1
78,6 71
79,44
80,-1
81,20
82,10
83,-1
84,37 41
85,37
86,-1
87,37 77
88,-1
89,52 65
90,37
91,60 73
92,75 87
93,-1
94,6 71
95,-1
96,67
97,73
98,-1
99,92
100,-1
101,-1
102,6 71
103,-1
104,-1
105,75
106,-1
107,-1
108,38
109,-1
110,6
111,6 71
112,-1
113,-1
114,27
115,-1
116,-1
117,34 100
118,-1
119,93
120,-1
121,14
122,-1
123,-1
124,-1
125,-1
126,3
127,85 96
128,77
129,5
130,89
131,-1
132,30
133,-1
134,92
135,65
136,-1
137,60
138,28 82
139,22
140,12 32
141,70 75
142,-1
143,-1
144,-1
145,12 32
146,-1
147,6 71
148,-1
149,68 98
150,-1
151,97
152,-1
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,-1
160,-1
161,-1
162,3
163,7 45
164,-1
165,32
166,-1
167,37
168,12 32
169,44
170,-1
171,54
172,-1
173,67
174,60
175,-1
176,-1
177,46
178,3
179,-1
180,-1
181,62
182,-1
183,79
184,70 75
185,-1
186,-1
187,12 32
188,84
189,-1
190,-1
191,54
192,-1
193,-1
194,60
195,58
196,12 48
197,-1
198,86
199,-1
200,93
201,-1
202,-1
203,-1
204,57 68 98
205,53
206,26
207,77
208,34
209,-1
210,82
211,-1
212,23
213,-1
214,-1
215,70 75
216,-1
217,-1
218,-1
219,-1
220,1
221,1
222,-1
223,-1
224,53
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,68
234,39
235,12 32
236,-1
237,-1
238,37 77
239,92
240,84
241,12 32
242,-1
243,-1
244,26 81
245,-1
246,58
247,54
248,68 98
249,68 98
250,-1
251,33
252,46
253,49
254,25
255,54
256,70 75
257,-1
258,-1
259,1
260,-1
261,-1
262,-1
263,10
264,36 42
265,57 68 98
266,62
267,11
268,68 98
269,-1
270,98
271,36 42
272,83 97
273,-1
274,-1
275,70 75
276,84
277,28 82
278,-1
279,91
280,-1
281,13 71
282,-1
283,6 71
284,36 42
285,59
286,-1
287,-1
288,-1
289,-1
290,45
291,-1
292,5
293,41
294,47
295,83 97
296,-1
297,56
298,-1
299,11
300,-1
301,6 71
302,22
303,85
304,83 97
305,38
306,-1
307,-1
308,-1
309,-1
310,-1
311,74 86
312,33
313,-1
314,-1
315,79
316,-1
317,26 81
318,-1
319,-1
320,36
321,6 71
322,-1
323,-1
324,43
325,69
326,16
327,3
328,70 75
329,37
330,-1
331,-1
332,-1
333,-1
334,66
335,57 68 98
336,85 96
337,6 71
338,12
339,67
340,13
341,26 81
342,65
343,-1
344,37
345,12 32
346,-1
347,52 65
348,-1
349,24
350,-1
351,-1
352,-1
353,51
354,9 30
355,-1
356,-1
357,23
358,-1
359,-1
360,9 30
361,1
362,49
363,-1
364,13 73 95
365,84
366,-1
367,-1
368,10
369,-1
370,16
371,-1
372,-1
373,67
374,23
375,1
376,30
377,12 32
378,-1
379,1
380,1
381,83 97
382,-1
383,39
384,-1
385,25
386,47
387,62
388,70 75
389,-1
390,-1
391,37 41
392,-1
393,68 98
394,60 73
395,24
396,79 81
397,65
398,37
399,54
400,-1
401,-1
402,-1
403,37 77
404,59
405,-1
406,-1
407,-1
408,74
409,70 75
410,21
411,-1
412,82
413,37 77
414,36
415,70 75
416,37 41
417,-1
418,12
419,26
420,-1
421,67
422,56
423,70 75
424,84
425,49
426,6 73
427,-1
428,-1
429,28
430,-1
431,35
432,-1
433,-1
434,1
435,1
436,-1
437,-1
438,36 42
439,72
440,3
441,11
442,9 15
443,-1
444,62
445,-1
446,34 100
447,70 75
448,-1
449,47
450,63
451,-1
452,1
453,-1
454,1
455,50
456,5
457,-1
458,10
459,-1
460,6 71
461,-1
462,-1
463,56
464,-1
465,78
466,-1
467,-1
468,12 32
469,43
470,46
471,-1
472,52 65
473,10 92
474,-1
475,-1
476,-1
477,-1
478,-1
479,45
480,-1
481,-1
482,49
483,-1
484,-1
485,37
486,56
487,3
488,46
489,19
490,24
